Timestamp,MagX,MagY,MagZ,AreaCode,LocationCode
1717672635423,-14.887501,-39.2625,-12.13125,A,A1
1717672636410,-14.531251,-40.256252,-8.925,A,A1
1717672637421,-14.3625,-41.15625,-5.6062503,A,A1
1717672638404,-14.1,-42.0,-2.1937501,A,A1
1717672639413,-13.9125,-42.862503,1.35,A,A1
1717672640407,-13.312501,-43.612503,4.59375,A,A1
1717672641924,-11.962501,-44.23125,6.8250003,A,A1
1717672642900,-9.975,-44.568752,8.700001,A,A1
1717672643921,-7.6875005,-44.53125,9.09375,A,A1
1717672644900,-5.15625,-44.30625,8.418751,A,A1
1717672645920,-2.4562502,-44.100002,7.6125,A,A1
1717672646909,0.26250002,-43.875,6.8250003,A,A1
1717672647922,2.9437501,-43.631252,6.01875,A,A1
1717673880288,18.6,-25.237501,-29.175001,A,A2
1717673881287,18.675001,-26.00625,-30.843752,A,A2
1717673882289,18.28125,-25.050001,-32.325,A,A2
1717673883281,17.60625,-25.575,-32.71875,A,A2
1717673884288,17.19375,-26.5125,-32.737503,A,A2
1717673885278,17.175001,-27.093752,-32.625,A,A2
1717673886295,17.19375,-27.431252,-32.643753,A,A2
1717673887301,17.2875,-27.54375,-32.662502,A,A2
1717673888301,17.15625,-27.993752,-33.131252,A,A2
1717673889291,16.987501,-28.2,-32.925003,A,A2
1717673890307,17.175001,-28.81875,-32.04375,A,A2
1717673891295,17.400002,-29.062502,-31.81875,A,A2
1717673892302,17.587502,-28.968752,-31.781252,A,A2
1717673893292,17.60625,-28.893751,-31.837502,A,A2
1717673894293,17.53125,-28.875002,-31.781252,A,A2
1717673895287,17.456251,-29.04375,-31.725,A,A2
1717673896337,17.2875,-28.931252,-31.875002,A,A2
1717673897330,16.95,-28.25625,-32.850002,A,A2
1717673898336,17.23125,-27.768751,-34.0125,A,A2
1717673899320,17.643751,-27.862501,-34.350002,A,A2
1717673900326,17.587502,-28.9125,-33.84375,A,A2
1717673901314,16.95,-30.337502,-32.86875,A,A2
1717673902326,16.143751,-32.0625,-31.556252,A,A2
1717673903313,15.0375,-33.881252,-30.075,A,A2
1717673904339,13.687501,-35.850002,-28.425001,A,A2
1717673905308,12.39375,-38.193752,-26.268751,A,A2
1717673906328,10.931251,-40.256252,-24.375002,A,A2
1717673907309,10.06875,-41.287502,-23.1,A,A2
1717673908313,9.7875,-41.1375,-22.837502,A,A2
1717673909335,10.087501,-40.350002,-22.575,A,A2
1717673910325,10.78125,-39.131252,-23.212502,A,A2
1717673911312,11.306251,-37.275,-24.91875,A,A2
1717673912339,11.56875,-34.612503,-27.581251,A,A2
1717673913310,11.625,-32.25,-30.206251,A,A2
1717673914324,10.875,-30.075,-32.775,A,A2
1717673915308,9.4875,-28.275002,-35.04375,A,A2
1717673916327,7.8,-26.625002,-37.18125,A,A2
1717673917316,6.1125,-25.29375,-39.75,A,A2
1717673919027,4.125,-24.075,-41.850002,A,A2
1717673920004,2.5500002,-23.325,-42.975002,A,A2
1717673921014,1.44375,-23.493752,-43.10625,A,A2
1717673922004,-0.28125,-23.400002,-43.21875,A,A2
1717673923022,-2.25,-23.456251,-43.275,A,A2
1717673924010,-4.5,-23.71875,-43.162502,A,A2
1717673925019,-6.9375005,-24.825,-42.43125,A,A2
1717673926007,-9.731251,-26.456251,-41.11875,A,A2
1717673927020,-12.375001,-28.06875,-39.75,A,A2
1717673928004,-14.85,-29.6625,-38.53125,A,A2
1717673929025,-16.95,-31.0125,-37.575,A,A2
1717673930002,-18.225,-32.68125,-36.46875,A,A2
1717673931019,-19.125,-34.18125,-35.325,A,A2
1717673933925,-19.66875,-35.4,-34.350002,A,A2
1717673935079,-19.931252,-35.850002,-33.9,A,A2
1717673936517,-19.743752,-35.79375,-33.99375,A,A2
1717673937504,-19.81875,-36.131252,-33.600002,A,A2
1717673938519,-19.706251,-37.275,-32.287502,A,A2
1717673939500,-19.7625,-38.831253,-30.337502,A,A2
1717673940523,-20.0625,-39.600002,-28.800001,A,A2
